ID;UNIQUE_NAME;VALIDATION_STATUS;label;lingo;NAME;unique_name;ContextAlias||label||QUDT;same_unit_as;REMARK;quantity_kind;property;comments_Laura
;;VALIDATED;;en;;;UNITLESS;https://qudt.org/vocab/unit/UNITLESS;;https://qudt.org/vocab/quantitykind/Dimensionless;observation;
;;VALIDATED;-;en;-;-;UNITLESS;https://qudt.org/vocab/unit/UNITLESS;;https://qudt.org/vocab/quantitykind/Dimensionless;observation;
;;VALIDATED;µg/g crt;en;µg/g crt;µg/g crt;MicroGM-PER-GM;https://qudt.org/vocab/unit/MicroGM-PER-GM;;https://qudt.org/vocab/quantitykind/MassRatio;mass ratio;
;;VALIDATED;number of cells;en;number of cells;number of cells;NUM;https://qudt.org/vocab/unit/NUM;;https://qudt.org/vocab/quantitykind/Dimensionless;number of cells;
;;VALIDATED;amount/mL;en;amount/mL;amount/mL;NUM-PER-MilliL;https://qudt.org/vocab/unit/NUM-PER-MilliL;;https://qudt.org/vocab/quantitykind/NumberDensity;amount per volume;
;;DEPRECATED;dosing/week;en;dosing/week;dosing/week;PER-WK;https://qudt.org/vocab/unit/PER-WK;;https://qudt.org/vocab/quantitykind/Frequency;frequency;
;;VALIDATED;µg/g;en;µg/g;µg/g;MicroGM-PER-GM;https://qudt.org/vocab/unit/MicroGM-PER-GM;;https://qudt.org/vocab/quantitykind/MassRatio;mass ratio;
;;VALIDATED;kg/m2;en;kg/m2;kg/m2;KiloGM-PER-M2;https://qudt.org/vocab/unit/KiloGM-PER-M2;;https://qudt.org/vocab/quantitykind/MassPerArea;mass per area;
;;VALIDATED;minute;en;minute;minute;MIN;https://qudt.org/vocab/unit/MIN;;https://qudt.org/vocab/quantitykind/Time;time;
;;VALIDATED;ng/m³;en;ng/m³;ng/m³;NanoGM-PER-M3;https://qudt.org/vocab/unit/NanoGM-PER-M3;;https://qudt.org/vocab/quantitykind/MassConcentration;mass concentration;
;;VALIDATED;pg/mg;en;pg/mg;pg/mg;PicoGM-PER-MilliGM;https://qudt.org/vocab/unit/PicoGM-PER-MilliGM;;https://qudt.org/vocab/quantitykind/MassRatio;mass ratio;
;;VALIDATED;ng/m²;en;ng/m²;ng/m²;NanoGM-PER-M2;https://qudt.org/vocab/unit/NanoGM-PER-M2;;https://qudt.org/vocab/quantitykind/MassPerArea;mass per area;
;;VALIDATED;mL;en;mL;mL;MilliL;https://qudt.org/vocab/unit/MilliL;;https://qudt.org/vocab/quantitykind/Volume;volume;
;;VALIDATED;minutes;en;minutes;minutes;MIN;https://qudt.org/vocab/unit/MIN;;https://qudt.org/vocab/quantitykind/Time;time;
;;VALIDATED;mitochondrial/nuclear DNA;en;mitochondrial/nuclear DNA;mitochondrial/nuclear DNA;UNITLESS;https://qudt.org/vocab/unit/UNITLESS;;https://qudt.org/vocab/quantitykind/Dimensionless;mitochondrial/nuclear DNA;
;;VALIDATED;mg/kg;en;mg/kg;mg/kg;MilliGM-PER-KiloGM;https://qudt.org/vocab/unit/MilliGM-PER-KiloGM;;https://qudt.org/vocab/quantitykind/MassRatio;mass ratio;
